[NanoDet][08-25 19:47:19]INFO: Setting up data...
[NanoDet][08-25 19:47:19]INFO: Creating model...
[NanoDet][08-25 19:47:19]INFO: 使用 CPU 进行训练
[NanoDet][08-25 19:47:19]INFO: Train|Epoch1/300|Iter0(1)| mem:0G| lr:7.00e-07| loss_qfl:0.4389| loss_bbox:1.1782| loss_dfl:0.4017| aux_loss_qfl:0.4308| aux_loss_bbox:1.1867| aux_loss_dfl:0.4029| loss_feat_kd:32.4460| loss_cls_kd:0.0000| loss_reg_kd:0.2189| 
[NanoDet][08-25 19:47:26]INFO: Train|Epoch1/300|Iter50(51)| mem:0G| lr:3.50e-03| loss_qfl:0.5275| loss_bbox:1.1506| loss_dfl:0.4021| aux_loss_qfl:0.5097| aux_loss_bbox:1.1652| aux_loss_dfl:0.4053| loss_feat_kd:20.7421| loss_cls_kd:0.0000| loss_reg_kd:0.2122| 
[NanoDet][08-25 19:47:34]INFO: Train|Epoch2/300|Iter100(1)| mem:0G| lr:7.00e-03| loss_qfl:0.6024| loss_bbox:1.0512| loss_dfl:0.4019| aux_loss_qfl:0.5712| aux_loss_bbox:1.0659| aux_loss_dfl:0.4044| loss_feat_kd:35.5512| loss_cls_kd:0.0000| loss_reg_kd:0.2166| 
[NanoDet][08-25 19:47:41]INFO: Train|Epoch2/300|Iter150(51)| mem:0G| lr:1.05e-02| loss_qfl:0.6030| loss_bbox:1.0745| loss_dfl:0.4006| aux_loss_qfl:0.5766| aux_loss_bbox:1.0994| aux_loss_dfl:0.4027| loss_feat_kd:24.8313| loss_cls_kd:0.0000| loss_reg_kd:0.1987| 
[NanoDet][08-25 19:47:54]INFO: Train|Epoch3/300|Iter200(1)| mem:0G| lr:1.40e-02| loss_qfl:0.7419| loss_bbox:1.1350| loss_dfl:0.4003| aux_loss_qfl:0.6985| aux_loss_bbox:1.1687| aux_loss_dfl:0.4057| loss_feat_kd:14.5416| loss_cls_kd:0.0000| loss_reg_kd:0.1999| 
[NanoDet][08-25 19:48:02]INFO: Train|Epoch3/300|Iter250(51)| mem:0G| lr:1.75e-02| loss_qfl:0.7611| loss_bbox:0.9671| loss_dfl:0.3985| aux_loss_qfl:0.6747| aux_loss_bbox:1.0223| aux_loss_dfl:0.4050| loss_feat_kd:12.1881| loss_cls_kd:0.0000| loss_reg_kd:0.1732| 
[NanoDet][08-25 19:48:08]INFO: Train|Epoch4/300|Iter300(1)| mem:0G| lr:2.10e-02| loss_qfl:0.8318| loss_bbox:0.9342| loss_dfl:0.3992| aux_loss_qfl:0.6799| aux_loss_bbox:1.0093| aux_loss_dfl:0.4043| loss_feat_kd:15.7388| loss_cls_kd:0.0000| loss_reg_kd:0.1644| 
[NanoDet][08-25 19:48:25]INFO: Train|Epoch4/300|Iter350(51)| mem:0G| lr:2.45e-02| loss_qfl:0.6077| loss_bbox:1.0946| loss_dfl:0.3988| aux_loss_qfl:0.4924| aux_loss_bbox:1.1601| aux_loss_dfl:0.4028| loss_feat_kd:20.3521| loss_cls_kd:0.0000| loss_reg_kd:0.1627| 
[NanoDet][08-25 19:48:33]INFO: Train|Epoch5/300|Iter400(1)| mem:0G| lr:2.80e-02| loss_qfl:0.7218| loss_bbox:0.9874| loss_dfl:0.3977| aux_loss_qfl:0.6178| aux_loss_bbox:1.0486| aux_loss_dfl:0.4022| loss_feat_kd:19.9533| loss_cls_kd:0.0000| loss_reg_kd:0.1396| 
[NanoDet][08-25 19:48:38]INFO: Train|Epoch5/300|Iter450(51)| mem:0G| lr:3.15e-02| loss_qfl:0.7532| loss_bbox:0.9639| loss_dfl:0.3937| aux_loss_qfl:0.5742| aux_loss_bbox:1.0578| aux_loss_dfl:0.4013| loss_feat_kd:19.2800| loss_cls_kd:0.0000| loss_reg_kd:0.1402| 
[NanoDet][08-25 19:48:45]INFO: Train|Epoch6/300|Iter500(1)| mem:0G| lr:3.50e-02| loss_qfl:0.6232| loss_bbox:1.1262| loss_dfl:0.3874| aux_loss_qfl:0.4980| aux_loss_bbox:1.1936| aux_loss_dfl:0.4048| loss_feat_kd:17.4937| loss_cls_kd:0.0000| loss_reg_kd:0.1266| 
[NanoDet][08-25 19:48:50]INFO: Train|Epoch6/300|Iter550(51)| mem:0G| lr:3.85e-02| loss_qfl:0.6773| loss_bbox:1.0426| loss_dfl:0.3904| aux_loss_qfl:0.4922| aux_loss_bbox:1.1728| aux_loss_dfl:0.4055| loss_feat_kd:22.6903| loss_cls_kd:0.0000| loss_reg_kd:0.1429| 
[NanoDet][08-25 19:48:57]INFO: Train|Epoch7/300|Iter600(1)| mem:0G| lr:4.20e-02| loss_qfl:0.6785| loss_bbox:1.0271| loss_dfl:0.3886| aux_loss_qfl:0.5285| aux_loss_bbox:1.1332| aux_loss_dfl:0.4029| loss_feat_kd:15.5769| loss_cls_kd:0.0000| loss_reg_kd:0.1166| 
